,,,-49.15200546E-3,2.2000000,,,,,-49.15200546E-3,2.1400001,,,,,-49.15200546E-3,2.1800001,,,,,-49.15200546E-3,2.1000001,
,,,-49.13600534E-3,2.0600002,,,,,-49.13600534E-3,2.1200001,,,,,-49.13600534E-3,2.0400002,,,,,-49.13600534E-3,2.1200001,
,,,-49.12000522E-3,2.2000000,,,,,-49.12000522E-3,2.1400001,,,,,-49.12000522E-3,2.1800001,,,,,-49.12000522E-3,2.1000001,
,,,-49.10400510E-3,2.0800002,,,,,-49.10400510E-3,2.1200001,,,,,-49.10400510E-3,2.0600002,,,,,-49.10400510E-3,2.1200001,
,,,-49.08800498E-3,2.1800001,,,,,-49.08800498E-3,2.1200001,,,,,-49.08800498E-3,2.1800001,,,,,-49.08800498E-3,2.1200001,
,,,-49.07200485E-3,2.0600002,,,,,-49.07200485E-3,2.1600001,,,,,-49.07200485E-3,2.0400002,,,,,-49.07200485E-3,2.1200001,
,,,-49.05600473E-3,2.2000000,,,,,-49.05600473E-3,2.1200001,,,,,-49.05600473E-3,2.1800001,,,,,-49.05600473E-3,2.1200001,
,,,-49.04000461E-3,2.0600002,,,,,-49.04000461E-3,2.1200001,,,,,-49.04000461E-3,2.0400002,,,,,-49.04000461E-3,2.1200001,
,,,-49.02400449E-3,2.2000000,,,,,-49.02400449E-3,2.1000001,,,,,-49.02400449E-3,2.1800001,,,,,-49.02400449E-3,2.1200001,
,,,-49.00800437E-3,2.0600002,,,,,-49.00800437E-3,2.1200001,,,,,-49.00800437E-3,2.0400002,,,,,-49.00800437E-3,2.1200001,
,,,-48.99200425E-3,2.2000000,,,,,-48.99200425E-3,2.1400001,,,,,-48.99200425E-3,2.1800001,,,,,-48.99200425E-3,2.1400001,
,,,-48.97600412E-3,2.0600002,,,,,-48.97600412E-3,2.1400001,,,,,-48.97600412E-3,2.0400002,,,,,-48.97600412E-3,2.1200001,
,,,-48.96000400E-3,2.2000000,,,,,-48.96000400E-3,2.1200001,,,,,-48.96000400E-3,2.1800001,,,,,-48.96000400E-3,2.1200001,
,,,-48.94400388E-3,2.0800002,,,,,-48.94400388E-3,2.1200001,,,,,-48.94400388E-3,2.0600002,,,,,-48.94400388E-3,2.1000001,
,,,-48.92800376E-3,2.2000000,,,,,-48.92800376E-3,2.1200001,,,,,-48.92800376E-3,2.1800001,,,,,-48.92800376E-3,2.1000001,
,,,-48.91200364E-3,2.0800002,,,,,-48.91200364E-3,2.1200001,,,,,-48.91200364E-3,2.0600002,,,,,-48.91200364E-3,2.1200001,
,,,-48.89600351E-3,2.2000000,,,,,-48.89600351E-3,2.1600001,,,,,-48.89600351E-3,2.1600001,,,,,-48.89600351E-3,2.1200001,
,,,-48.88000339E-3,2.0600002,,,,,-48.88000339E-3,2.1200001,,,,,-48.88000339E-3,2.0600002,,,,,-48.88000339E-3,2.1200001,
,,,-48.86400327E-3,2.2000000,,,,,-48.86400327E-3,2.1200001,,,,,-48.86400327E-3,2.1800001,,,,,-48.86400327E-3,2.1200001,
,,,-48.84800315E-3,2.0600002,,,,,-48.84800315E-3,2.1200001,,,,,-48.84800315E-3,2.0600002,,,,,-48.84800315E-3,2.1200001,
,,,-48.83200303E-3,2.2000000,,,,,-48.83200303E-3,2.1200001,,,,,-48.83200303E-3,2.1800001,,,,,-48.83200303E-3,2.1000001,
,,,-48.81600291E-3,2.0800002,,,,,-48.81600291E-3,2.1400001,,,,,-48.81600291E-3,2.0600002,,,,,-48.81600291E-3,2.1000001,
,,,-48.80000278E-3,2.1800001,,,,,-48.80000278E-3,2.1200001,,,,,-48.80000278E-3,2.1600001,,,,,-48.80000278E-3,2.1200001,
,,,-48.78400266E-3,2.0600002,,,,,-48.78400266E-3,2.1200001,,,,,-48.78400266E-3,2.0400002,,,,,-48.78400266E-3,2.1200001,
,,,-48.76800254E-3,2.2000000,,,,,-48.76800254E-3,2.1200001,,,,,-48.76800254E-3,2.1800001,,,,,-48.76800254E-3,2.1200001,
,,,-48.75200242E-3,2.0600002,,,,,-48.75200242E-3,2.1400001,,,,,-48.75200242E-3,2.0400002,,,,,-48.75200242E-3,2.1200001,
,,,-48.73600602E-3,2.2000000,,,,,-48.73600602E-3,2.1400001,,,,,-48.73600602E-3,2.1800001,,,,,-48.73600602E-3,2.1200001,
,,,-48.72000590E-3,2.0800002,,,,,-48.72000590E-3,2.1400001,,,,,-48.72000590E-3,2.0800002,,,,,-48.72000590E-3,2.1200001,
,,,-48.70400578E-3,2.1800001,,,,,-48.70400578E-3,2.1200001,,,,,-48.70400578E-3,2.1600001,,,,,-48.70400578E-3,2.1000001,
,,,-48.68800566E-3,2.0600002,,,,,-48.68800566E-3,2.1400001,,,,,-48.68800566E-3,2.0400002,,,,,-48.68800566E-3,2.1200001,
,,,-48.67200553E-3,2.2000000,,,,,-48.67200553E-3,2.1200001,,,,,-48.67200553E-3,2.1800001,,,,,-48.67200553E-3,2.1200001,
,,,-48.65600541E-3,2.0800002,,,,,-48.65600541E-3,2.1400001,,,,,-48.65600541E-3,2.0600002,,,,,-48.65600541E-3,2.1200001,
,,,-48.64000529E-3,2.2000000,,,,,-48.64000529E-3,2.1200001,,,,,-48.64000529E-3,2.1800001,,,,,-48.64000529E-3,2.1200001,
,,,-48.62400517E-3,2.0800002,,,,,-48.62400517E-3,2.1200001,,,,,-48.62400517E-3,2.0600002,,,,,-48.62400517E-3,2.1000001,
,,,-48.60800505E-3,2.2000000,,,,,-48.60800505E-3,2.1200001,,,,,-48.60800505E-3,2.1600001,,,,,-48.60800505E-3,2.1200001,
,,,-48.59200493E-3,2.0600002,,,,,-48.59200493E-3,2.1200001,,,,,-48.59200493E-3,2.0400002,,,,,-48.59200493E-3,2.1400001,
,,,-48.57600480E-3,2.2000000,,,,,-48.57600480E-3,2.1200001,,,,,-48.57600480E-3,2.1800001,,,,,-48.57600480E-3,2.1200001,
,,,-48.56000468E-3,2.0800002,,,,,-48.56000468E-3,2.1200001,,,,,-48.56000468E-3,2.0600002,,,,,-48.56000468E-3,2.1000001,
,,,-48.54400456E-3,2.1800001,,,,,-48.54400456E-3,2.1400001,,,,,-48.54400456E-3,2.1600001,,,,,-48.54400456E-3,2.1000001,
,,,-48.52800444E-3,2.0600002,,,,,-48.52800444E-3,2.1400001,,,,,-48.52800444E-3,2.0600002,,,,,-48.52800444E-3,2.1200001,
,,,-48.51200432E-3,2.2000000,,,,,-48.51200432E-3,2.1400001,,,,,-48.51200432E-3,2.1800001,,,,,-48.51200432E-3,2.1200001,
,,,-48.49600419E-3,2.0600002,,,,,-48.49600419E-3,2.1200001,,,,,-48.49600419E-3,2.0400002,,,,,-48.49600419E-3,2.1000001,
,,,-48.48000407E-3,2.2000000,,,,,-48.48000407E-3,2.1200001,,,,,-48.48000407E-3,2.1600001,,,,,-48.48000407E-3,2.1000001,
,,,-48.46400395E-3,2.0600002,,,,,-48.46400395E-3,2.1200001,,,,,-48.46400395E-3,2.0400002,,,,,-48.46400395E-3,2.1200001,
,,,-48.44800383E-3,2.1800001,,,,,-48.44800383E-3,2.1200001,,,,,-48.44800383E-3,2.1600001,,,,,-48.44800383E-3,2.1200001,
,,,-48.43200371E-3,2.0800002,,,,,-48.43200371E-3,2.1200001,,,,,-48.43200371E-3,2.0600002,,,,,-48.43200371E-3,2.1200001,
,,,-48.41600358E-3,2.1800001,,,,,-48.41600358E-3,2.1200001,,,,,-48.41600358E-3,2.1600001,,,,,-48.41600358E-3,2.1000001,
,,,-48.40000346E-3,2.0600002,,,,,-48.40000346E-3,2.1200001,,,,,-48.40000346E-3,2.0600002,,,,,-48.40000346E-3,2.1000001,
,,,-48.38400334E-3,2.1800001,,,,,-48.38400334E-3,2.1200001,,,,,-48.38400334E-3,2.1800001,,,,,-48.38400334E-3,2.1000001,
,,,-48.36800322E-3,2.0600002,,,,,-48.36800322E-3,2.1400001,,,,,-48.36800322E-3,2.0400002,,,,,-48.36800322E-3,2.1000001,
,,,-48.35200310E-3,2.2000000,,,,,-48.35200310E-3,2.1400001,,,,,-48.35200310E-3,2.1800001,,,,,-48.35200310E-3,2.1200001,
,,,-48.33600298E-3,2.0800002,,,,,-48.33600298E-3,2.1200001,,,,,-48.33600298E-3,2.0600002,,,,,-48.33600298E-3,2.1200001,
,,,-48.32000285E-3,2.1800001,,,,,-48.32000285E-3,2.1400001,,,,,-48.32000285E-3,2.1600001,,,,,-48.32000285E-3,2.1200001,
,,,-48.30400273E-3,2.0600002,,,,,-48.30400273E-3,2.1200001,,,,,-48.30400273E-3,2.0600002,,,,,-48.30400273E-3,2.1200001,
,,,-48.28800261E-3,2.2000000,,,,,-48.28800261E-3,2.1200001,,,,,-48.28800261E-3,2.1800001,,,,,-48.28800261E-3,2.1200001,
,,,-48.27200249E-3,2.0600002,,,,,-48.27200249E-3,2.1400001,,,,,-48.27200249E-3,2.0400002,,,,,-48.27200249E-3,2.1200001,
,,,-48.25600609E-3,2.2000000,,,,,-48.25600609E-3,2.1200001,,,,,-48.25600609E-3,2.1800001,,,,,-48.25600609E-3,2.1000001,
,,,-48.24000597E-3,2.0800002,,,,,-48.24000597E-3,2.1200001,,,,,-48.24000597E-3,2.0600002,,,,,-48.24000597E-3,2.1000001,
,,,-48.22400585E-3,2.1800001,,,,,-48.22400585E-3,2.1200001,,,,,-48.22400585E-3,2.1600001,,,,,-48.22400585E-3,2.1200001,
,,,-48.20800573E-3,2.0600002,,,,,-48.20800573E-3,2.1200001,,,,,-48.20800573E-3,2.0400002,,,,,-48.20800573E-3,2.1000001,
,,,-48.19200560E-3,2.2000000,,,,,-48.19200560E-3,2.1200001,,,,,-48.19200560E-3,2.1800001,,,,,-48.19200560E-3,2.1000001,
,,,-48.17600548E-3,2.0800002,,,,,-48.17600548E-3,2.1200001,,,,,-48.17600548E-3,2.0600002,,,,,-48.17600548E-3,2.1000001,
,,,-48.16000536E-3,2.1800001,,,,,-48.16000536E-3,2.1400001,,,,,-48.16000536E-3,2.1600001,,,,,-48.16000536E-3,2.1000001,
,,,-48.14400524E-3,2.0800002,,,,,-48.14400524E-3,2.1200001,,,,,-48.14400524E-3,2.0800002,,,,,-48.14400524E-3,2.1000001,
,,,-48.12800512E-3,2.1800001,,,,,-48.12800512E-3,2.1200001,,,,,-48.12800512E-3,2.1600001,,,,,-48.12800512E-3,2.1000001,
,,,-48.11200500E-3,2.0800002,,,,,-48.11200500E-3,2.1200001,,,,,-48.11200500E-3,2.0600002,,,,,-48.11200500E-3,2.1200001,
,,,-48.09600487E-3,2.1800001,,,,,-48.09600487E-3,2.1200001,,,,,-48.09600487E-3,2.1600001,,,,,-48.09600487E-3,2.1200001,
