% Model,EM_DoulbeMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jul 1 2024, 13:23"
% Table,Table 3 - Global Evaluation 1
% Gap,Current1,Current2,mf.Forcez_MagnetForce1+mf.Forcez_MagnetForce2 (N)
0.155,-1.3,-1.3,0.006573970587014713
0.155,-1.3,0,-0.032044489052675235
0.155,-1.3,1.3,-0.07188950465290411
0.155,0,-1.3,0.03835495556601051
0.155,0,0,-2.767665782581006E-4
0.155,0,1.3,-0.04013483950006901
0.155,1.3,-1.3,0.07105795183571244
0.155,1.3,0,0.032413137398239256
0.155,1.3,1.3,-0.007458356736663042
0.16,-1.3,-1.3,0.0037664765789084433
0.16,-1.3,0,-0.034809039457970266
0.16,-1.3,1.3,-0.07463455714814982
0.16,0,-1.3,0.03733526590769323
0.16,0,0,-0.0012422012056328285
0.16,0,1.3,-0.04107010475915417
0.16,1.3,-1.3,0.07176504699182978
0.16,1.3,0,0.033185088002152335
0.16,1.3,1.3,-0.006645312364881792
0.165,-1.3,-1.3,0.0035872815023105173
0.165,-1.3,0,-0.0335542990458372
0.165,-1.3,1.3,-0.07184335904551793
0.165,0,-1.3,0.037555666081558095
0.165,0,0,4.1094601571015944E-4
0.165,0,1.3,-0.03788112252066454
0.165,1.3,-1.3,0.07244120962163125
0.165,1.3,0,0.03529316338417606
0.165,1.3,1.3,-0.0030025476278623536
0.17,-1.3,-1.3,0.0012309981388602363
0.17,-1.3,0,-0.03463274082953805
0.17,-1.3,1.3,-0.07138804051968822
0.17,0,-1.3,0.03594025735675323
0.17,0,0,7.175542252268324E-5
0.17,0,1.3,-0.03668852951139223
0.17,1.3,-1.3,0.07148536901012259
0.17,1.3,0,0.03561189171390855
0.17,1.3,1.3,-0.001153443085126108
0.17500000000000002,-1.3,-1.3,-2.769694657253248E-4
0.17500000000000002,-1.3,0,-0.03583085338647533
0.17500000000000002,-1.3,1.3,-0.07242079389199794
0.17500000000000002,0,-1.3,0.03523824942693811
0.17500000000000002,0,0,-3.166723711778268E-4
0.17500000000000002,0,1.3,-0.03690793767861178
0.17500000000000002,1.3,-1.3,0.07185569711516268
0.17500000000000002,1.3,0,0.03629937990207662
0.17500000000000002,1.3,1.3,-2.92752903944489E-4
0.18,-1.3,-1.3,-0.0023715849072613697
0.18,-1.3,0,-0.03698246503192157
0.18,-1.3,1.3,-0.0724438797442607
0.18,0,-1.3,0.0349263637165286
0.18,0,0,3.220027700836566E-4
0.18,0,1.3,-0.035132752667700586
0.18,1.3,-1.3,0.07327602261350419
0.18,1.3,0,0.03867828678467311
0.18,1.3,1.3,0.0032303432698223417
0.185,-1.3,-1.3,-0.0034118216091164263
0.185,-1.3,0,-0.03743054552481524
0.185,-1.3,1.3,-0.07231379806334308
0.185,0,-1.3,0.033822820906271894
0.185,0,0,-1.9157558042784753E-4
0.185,0,1.3,-0.0350706322222281
0.185,1.3,-1.3,0.0722104121728742
0.185,1.3,0,0.03820013329899575
0.185,1.3,1.3,0.003325623140693769
0.19,-1.3,-1.3,-0.004916598152442143
0.19,-1.3,0,-0.03801675658702826
0.19,-1.3,1.3,-0.07209387242490647
0.19,0,-1.3,0.03353175268100161
0.19,0,0,4.4771336770498167E-4
0.19,0,1.3,-0.03361307601595921
0.19,1.3,-1.3,0.07332328070136615
0.19,1.3,0,0.0402554667889199
0.19,1.3,1.3,0.006210497613134476
0.195,-1.3,-1.3,-0.0063290342292643235
0.195,-1.3,0,-0.038765464944889624
0.195,-1.3,1.3,-0.07211288887930735
0.195,0,-1.3,0.03290535521262581
0.195,0,0,4.855768206075625E-4
0.195,0,1.3,-0.03284523862592347
0.195,1.3,-1.3,0.07343503113932015
0.195,1.3,0,0.04103180536779525
0.195,1.3,1.3,0.007717839882056682
0.2,-1.3,-1.3,-0.006854033531544561
0.2,-1.3,0,-0.03948753336259232
0.2,-1.3,1.3,-0.07294748877840629
0.2,0,-1.3,0.033995320122739515
0.2,0,0,0.0013705963954163732
0.2,0,1.3,-0.03208074584646048
0.2,1.3,-1.3,0.07624357133031559
0.2,1.3,0,0.04362740277508509
0.2,1.3,1.3,0.01018518762542353
0.20500000000000002,-1.3,-1.3,-0.010299390061013818
0.20500000000000002,-1.3,0,-0.040832869884493396
0.20500000000000002,-1.3,1.3,-0.07216132369937774
0.20500000000000002,0,-1.3,0.03074659494644246
0.20500000000000002,0,0,2.383038597685294E-4
0.20500000000000002,0,1.3,-0.031064585004214898
0.20500000000000002,1.3,-1.3,0.07325220905444504
