% Model,EM_DoulbeMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jul 1 2024, 13:51"
% Table,Table 1 - Global Evaluation 1
% Gap,Current1,Current2,mf.Forcez_MagnetForce1+mf.Forcez_MagnetForce2 (N)
0.105,0,-0.13,-0.0017985904098603983
0.105,0,0,-0.006886956842099456
0.105,0,0.13,-0.011999283267222617
0.105,0.13,-0.13,7.107735253502872E-4
0.105,0.13,0,-0.004378706206785888
0.105,0.13,0.13,-0.009491838889250903
0.11,-0.13,-0.13,-0.0012548836469811302
0.11,-0.13,0,-0.006214968563759568
0.11,-0.13,0.13,-0.011192106013361704
0.11,0,-0.13,0.0013285387807929275
0.11,0,0,-0.003632012350903893
0.11,0,0.13,-0.008609904863063534
0.11,0.13,-0.13,0.003918505945280128
0.11,0.13,0,-0.0010429636880207281
0.11,0.13,0.13,-0.006021213036671297
0.115,-0.13,-0.13,5.712596284667901E-5
0.115,-0.13,0,-0.004709833484529941
0.115,-0.13,0.13,-0.009492455516460123
0.115,0,-0.13,0.0027294563859251563
0.115,0,0,-0.0020381320368687388
0.115,0,0.13,-0.0068214116361255735
0.115,0.13,-0.13,0.005408473602160983
0.115,0.13,0,6.400852297761411E-4
0.115,0.13,0.13,-0.004143493487288539
0.12,-0.13,-0.13,-7.986446246863611E-4
0.12,-0.13,0,-0.005515449041029637
0.12,-0.13,0.13,-0.010247914438643523
0.12,0,-0.13,0.001957303142200607
0.12,0,0,-0.0027598641583205085
0.12,0,0.13,-0.0074928836639948995
0.12,0.13,-0.13,0.004719857203406534
0.12,0.13,0,2.1307089591998674E-6
0.12,0.13,0.13,-0.004731529249674845
0.125,-0.13,-0.13,-1.69042999938189E-4
0.125,-0.13,0,-0.004843327720365203
0.125,-0.13,0.13,-0.009533540563214026
0.125,0,-0.13,0.0026807770082449816
0.125,0,0,-0.0019937266294766266
0.125,0,0.13,-0.006684617458314081
0.125,0.13,-0.13,0.005538300640729625
0.125,0.13,0,8.631373196316752E-4
0.125,0.13,0.13,-0.003827727593379142
0.13,-0.13,-0.13,0.0012356268390201937
0.13,-0.13,0,-0.00329175861149861
0.13,-0.13,0.13,-0.007832810736060914
0.13,0,-0.13,0.004114721919193747
0.13,0,0,-4.127536329382314E-4
0.13,0,0.13,-0.004954178548796479
0.13,0.13,-0.13,0.0070001212491760095
0.13,0.13,0,0.002472141750180866
0.13,0.13,0.13,-0.0020692518586718847
0.135,-0.13,-0.13,7.963843491693807E-4
0.135,-0.13,0,-0.0035155952643482168
0.135,-0.13,0.13,-0.007843113613357234
0.135,0,-0.13,0.0037285318942042213
0.135,0,0,-5.83615695859776E-4
0.135,0,0.13,-0.004911627009544707
0.135,0.13,-0.13,0.006667724346278679
0.135,0.13,0,0.0023550780112620486
0.135,0.13,0.13,-0.0019733115536635995
0.14,-0.13,-0.13,-4.277129655780249E-4
0.14,-0.13,0,-0.004702341286854921
0.14,-0.13,0.13,-0.008992339955510485
0.14,0,-0.13,0.0025921612599728652
0.14,0,0,-0.0016829045315127425
0.14,0,0.13,-0.005973134040614234
0.14,0.13,-0.13,0.005620245517364493
0.14,0.13,0,0.0013448395808501566
0.14,0.13,0.13,-0.0029456037990831293
0.145,-0.13,-0.13,0.0015283167048000725
0.145,-0.13,0,-0.0026277399896932254
0.145,-0.13,0.13,-0.006798003057596374
0.145,0,-0.13,0.004607041524984716
0.145,0,0,4.5091724591472294E-4
0.145,0,0.13,-0.0037196618102793896
0.145,0.13,-0.13,0.007692472752316156
0.145,0.13,0,0.0035359565292235884
0.145,0.13,0.13,-6.346878420023013E-4
0.15,-0.13,-0.13,-9.532911793681776E-4
0.15,-0.13,0,-0.0050367131865688
0.15,-0.13,0.13,-0.009133909556539
0.15,0,-0.13,0.0022622997860392326
0.15,0,0,-0.0018213380640374928
0.15,0,0.13,-0.005918768479883547
0.15,0.13,-0.13,0.005486060884740358
0.15,0.13,0,0.0014020405701284117
0.15,0.13,0.13,-0.0026953695538246697
0.155,-0.13,-0.13,4.234831040775197E-4
0.155,-0.13,0,-0.0034949647430327583
0.155,-0.13,0.13,-0.007425363577132185
0.155,0,-0.13,0.003641722927765021
0.155,0,0,-2.7676656736363645E-4
0.155,0,0.13,-0.0042071777885257615
0.155,0.13,-0.13,0.006869285315595143
0.155,0.13,0,0.002950797437735818
0.155,0.13,0.13,-9.80013009578392E-4
0.16,-0.13,-0.13,-7.236680077306861E-4
0.16,-0.13,0,-0.004637747343822678
0.16,-0.13,0.13,-0.008564188440392922
0.16,0,-0.13,0.0026716739884138987
0.16,0,0,-0.0012422011952435436
0.16,0,0.13,-0.005168757320388118
0.16,0.13,-0.13,0.006075646527185709
0.16,0.13,0,0.0021616560220966315
0.16,0.13,0.13,-0.0017649194892356054
0.165,-0.13,-0.13,7.394254114106158E-4
0.165,-0.13,0,-0.0030267497694481046
0.165,-0.13,0.13,-0.006804274231971351
0.165,0,-0.13,0.004177143061234959
0.165,0,0,4.1094601352580085E-4
0.165,0,0.13,-0.0033664455121391393
0.165,0.13,-0.13,0.0076240713637884885
0.165,0.13,0,0.0038578878498902736
0.165,0.13,0.13,8.02115124555157E-5
0.17,-0.13,-0.13,1.9069241294004773E-4
0.17,-0.13,0,-0.0034363084360372427
0.17,-0.13,0.13,-0.0070721258113563504
0.17,0,-0.13,0.0036987231649827325
0.17,0,0,7.175543201363814E-5
0.17,0,0.13,-0.003564101609372228
0.17,0.13,-0.13,0.0072151967460958415
0.17,0.13,0,0.003588153856159684
0.17,0.13,0.13,-4.782074834261689E-5
0.17500000000000002,-0.13,-0.13,-3.158419361868397E-4
0.17500000000000002,-0.13,0,-0.003917820574914601
0.17500000000000002,-0.13,0.13,-0.007530258171367828
0.17500000000000002,0,-0.13,0.003285279557127263
0.17500000000000002,0,0,-3.1667237131369555E-4
0.17500000000000002,0,0.13,-0.003929253715740431
0.17500000000000002,0.13,-0.13,0.006897287375283237
0.17500000000000002,0.13,0,0.003295069174033211
0.17500000000000002,0.13,0.13,-3.17189978944421E-4
0.18,-0.13,-0.13,4.293760761358168E-5
0.18,-0.13,0,-0.0034557938783073387
0.18,-0.13,0.13,-0.0069630709642868
0.18,0,-0.13,0.003820690153183254
0.18,0,0,3.220027700836306E-4
0.18,0,0.13,-0.0031851504109026013
0.18,0.13,-0.13,0.007608884366189417
0.18,0.13,0,0.004110214143736232
0.18,0.13,0.13,6.032223974115104E-4
0.185,-0.13,-0.13,-5.272122347283921E-4
0.185,-0.13,0,-0.003967474625776304
0.185,-0.13,0.13,-0.007416438431337652
0.185,0,-0.13,0.0032486721517793775
0.185,0,0,-1.9157558138661705E-4
0.185,0,0.13,-0.003640603442794821
0.185,0.13,-0.13,0.007035865218057017
0.185,0.13,0,0.003595498557539704
0.185,0.13,0.13,1.468005865307119E-4
0.19,-0.13,-0.13,-1.064723173316174E-4
0.19,-0.13,0,-0.003459015103181813
0.19,-0.13,0.13,-0.006821306288885038
0.19,0,-0.13,0.003800248154877863
0.19,0,0,4.477133705248614E-4
0.19,0,0.13,-0.002914171641567216
0.19,0.13,-0.13,0.007720353308800593
0.19,0.13,0,0.004368113014732097
0.19,0.13,0.13,0.0010060589266765122
0.195,-0.13,-0.13,-2.1487304867787594E-4
0.195,-0.13,0,-0.0034978955026535846
0.195,-0.13,0.13,-0.0067900844873152
0.195,0,-0.13,0.0037685456155049585
0.195,0,0,4.855768213190715E-4
0.195,0,0.13,-0.002806551022780832
0.195,0.13,-0.13,0.007764592547267985
0.195,0.13,0,0.0044817673901203815
0.195,0.13,0.13,0.0011900252710412458
0.2,-0.13,-0.13,5.213027034560672E-4
0.2,-0.13,0,-0.0027783327836909226
0.2,-0.13,0.13,-0.006086320729090182
0.2,0,-0.13,0.004670131018124414
0.2,0,0,0.0013705963876044572
0.2,0,0.13,-0.0019374774609260256
0.2,0.13,-0.13,0.008832681729644836
0.2,0.13,0,0.005533060269562604
0.2,0.13,0.13,0.0022254460151187733
0.20500000000000002,-0.13,-0.13,-8.475920915701901E-4
0.20500000000000002,-0.13,0,-0.003934283231718802
0.20500000000000002,-0.13,0.13,-0.007029070229156933
0.20500000000000002,0,-0.13,0.003325046588909879
0.20500000000000002,0,0,2.3830385044043383E-4
0.20500000000000002,0,0.13,-0.002855952490376514
0.20500000000000002,0.13,-0.13,0.007512182273740961
0.20500000000000002,0.13,0,0.0044258209160035235
0.20500000000000002,0.13,0.13,0.0013315514983110663
0.21,-0.13,-0.13,-5.157120138605314E-4
0.21,-0.13,0,-0.003541565744955488
0.21,-0.13,0.13,-0.006575006095412644
0.21,0,-0.13,0.0037129400847259204
0.21,0,0,6.872191052451019E-4
0.21,0,0.13,-0.0023461336470494646
0.21,0.13,-0.13,0.00795710938959428
0.21,0.13,0,0.004931472976715789
0.21,0.13,0.13,0.001898603623931074
0.215,-0.13,-0.13,-0.0016358649972761244
0.215,-0.13,0,-0.004583995576339329
0.215,-0.13,0.13,-0.007539201602270496
0.215,0,-0.13,0.002734160956883717
0.215,0,0,-2.1362318240399775E-4
0.215,0,0.13,-0.0031683132743688842
0.215,0.13,-0.13,0.007122291909429984
0.215,0.13,0,0.00417494911318826
0.215,0.13,0.13,0.0012203491733956441
0.22,-0.13,-0.13,3.484812631879006E-4
0.22,-0.13,0,-0.0025652343125428982
0.22,-0.13,0.13,-0.005485215476335767
0.22,0,-0.13,0.004904355019514476
0.22,0,0,0.0019908151545591692
