% Model,COMSOL_Inductor12_MagnetSweep.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 16 2025, 13:05"
% Table,Table 1 - Global Evaluation 1
% Magnet_Height (mm),Magnet_Diameter (mm),Current (A),"Electromagnetic force, z component (N)"
2,2.5,0,1.249987389014985
2,2.5,-0.4,1.2312596799257638
2,3,0,1.5905781324661168
2,3,-0.4,1.562947713358496
2,3.5,0,1.8465765685983508
2,3.5,-0.4,1.812661308489155
2,4,0,1.9559428117459947
2,4,-0.4,1.9182433953369826
2,4.500000000000001,0,1.7835193663113307
2,4.500000000000001,-0.4,1.7437366920415642
2.5,1,0,0.21468546222203105
2.5,1,-0.4,0.21194506096691745
2.5,1.5,0,0.5108015122492898
2.5,1.5,-0.4,0.5015355711121742
2.5,2,0,0.8990348413148381
2.5,2,-0.4,0.8790478727009158
2.5,2.5,0,1.3036840515342072
2.5,2.5,-0.4,1.284276406387648
2.5,3,0,1.6604822422298864
2.5,3,-0.4,1.6315691820594136
2.5,3.5,0,1.9364492932370025
2.5,3.5,-0.4,1.9009610327465774
2.5,4,0,2.0700246864039373
2.5,4,-0.4,2.03017118401085
2.5,4.500000000000001,0,1.920105699860121
2.5,4.500000000000001,-0.4,1.877841235294904
3,1,0,0.21720213980072212
3,1,-0.4,0.21388068091297088
3,1.5,0,0.5198050324819866
3,1.5,-0.4,0.5102894448771911
3,2,0,0.9174842727488901
3,2,-0.4,0.9002206065624094
3,2.5,0,1.3314690451375004
3,2.5,-0.4,1.3111753713540875
3,3,0,1.7016810617892717
3,3,-0.4,1.671939003746215
3,3.5,0,1.9904463822125913
3,3.5,-0.4,1.953809327675411
3,4,0,2.1411384975858714
3,4,-0.4,2.0997629175950805
3,4.500000000000001,0,2.013555388325635
3,4.500000000000001,-0.4,1.969536246453887
3.5,1,0,0.21876830789804283
3.5,1,-0.4,0.21499536706487957
3.5,1.5,0,0.5253625344501489
3.5,1.5,-0.4,0.515692640082286
3.5,2,0,0.9313923323921766
3.5,2,-0.4,0.916401438714659
3.5,2.5,0,1.3514589776851036
3.5,2.5,-0.4,1.3305417490532554
3.5,3,0,1.7297401761988969
3.5,3,-0.4,1.6994469641226555
3.5,3.5,0,2.029115281035525
3.5,3.5,-0.4,1.9916700697075231
3.5,4,0,2.1934086830593613
3.5,4,-0.4,2.1509692641158487
3.5,4.500000000000001,0,2.081465235402085
3.5,4.500000000000001,-0.4,2.0361815159955907
4,1,0,0.2198687419792088
4,1,-0.4,0.21575536074630358
4,1.5,0,0.5288332023223649
4,1.5,-0.4,0.51904198825243
4,2,0,0.9374555635850966
4,2,-0.4,0.9241765081904635
4,2.5,0,1.3650996624588245
4,2.5,-0.4,1.3437701428289195
4,3,0,1.7464835292405827
4,3,-0.4,1.715800237171406
4,3.5,0,2.057245944067633
4,3.5,-0.4,2.019231317140624
4,4,0,2.233840968067633
4,4,-0.4,2.190636663124648
4,4.500000000000001,0,2.1323725244425087
4,4.500000000000001,-0.4,2.0863507560521963
4.500000000000001,1,0,0.2203714775522082
4.500000000000001,1,-0.4,0.21599397749085686
4.500000000000001,1.5,0,0.5310942432269701
4.500000000000001,1.5,-0.4,0.5212301510425598
4.500000000000001,2,0,0.9423744975399128
4.500000000000001,2,-0.4,0.9302693860883332
4.500000000000001,2.5,0,1.3708861987616912
4.500000000000001,2.5,-0.4,1.349260059592132
4.500000000000001,3,0,1.7574879211432926
4.500000000000001,3,-0.4,1.726534175827564
4.500000000000001,3.5,0,2.0722554052031414
4.500000000000001,3.5,-0.4,2.0337915542462324
4.500000000000001,4,0,2.2592506846498854
4.500000000000001,4,-0.4,2.2154753950954937
4.500000000000001,4.500000000000001,0,2.17206820120707
4.500000000000001,4.500000000000001,-0.4,2.125208157553616
5,1,0,0.22086698470980615
5,1,-0.4,0.21628536145785177
5,1.5,0,0.5331249927931967
5,1.5,-0.4,0.523219298570498
5,2,0,0.945325322335227
5,2,-0.4,0.9340309088747745
5,2.5,0,1.3761701297782727
5,2.5,-0.4,1.3543398468967744
5,3,0,1.7672688564442898
5,3,-0.4,1.736119334933556
5,3.5,0,2.085276399073366
5,3.5,-0.4,2.046486094804328
5,4,0,2.279920847847113
5,4,-0.4,2.2357368209457382
5,4.500000000000001,0,2.198440582370615
5,4.500000000000001,-0.4,2.151145218039329
5.5,1,0,0.22113045766796768
5.5,1,-0.4,0.21638938988806974
5.5,1.5,0,0.5335952581003407
5.5,1.5,-0.4,0.5236806315161052
5.5,2,0,0.9488391621194942
5.5,2,-0.4,0.938121388644561
5.5,2.5,0,1.379076460087773
5.5,2.5,-0.4,1.357113614247888
5.5,3,0,1.7717519463317297
5.5,3,-0.4,1.7404658667947892
5.5,3.5,0,2.091956863860223
5.5,3.5,-0.4,2.0529161956806683
5.5,4,0,2.294531058470761
